Ministry/Entity;Buyer;Project Code;Code Nom;State Nom;Organisation;PerimGeo;Region;Date ;Duration;Montant prévisionnel HT (toutes périodes de reconduction incluses);Execution %;Exceution date
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;448446 - 018 AC LE CANNET DES MAURES EALAT -STAND B6 Adaptation contrainte/réglementation ST/CT ECI EMZD Lyon;36.02.04;Travaux de mise aux normes bâtiment;Ministériel;Régional ou infra;PACA;2018T4;12;entre 100 KEuros et 1 MEuros;20%;21/10/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;443665 - 018 AC FREJUS 21 RIMA - COL LECOCQ - Rénovation ZT liée à arrivée VBMR - INFRA SCORPION Etape 1;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2018T4;12;entre 1 MEuros et 10 MEuros;64%;6/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;ISTRES - Maintenance et exploitation des installations de chauffage, climatisation, ventilation mécanique contrôlée (VMC et gestion technique centralisée (GTC);37.02.02;Maintenance chauffage, ventilation, climatisation (CVC);Ministériel;Régional ou infra;PACA;2018T4;48;entre 1 MEuros et 10 MEuros;40%;9/10/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;ACCORD CADRE pour l'exécution de travaux d'entretien et d'adaptations de la BDD MAR - Marché d'éléctricité;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;PACA;2020T4;48;entre 1 MEuros et 10 MEuros;74%;15/10/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;442082 - CARCASSONNE - QUARTIER LAPERRINE - Réhabilitation BCC au profit GSBDD - Bât 010;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;OCCITANIE;2019T4;12;entre 1 MEuros et 10 MEuros;30%;19/11/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;441338 - MONT LOUIS - CNEC - CASERNE DE LA CITADELLE - CREATION D'HEBERGEMENT STAGIAIRES  Bât 001, 002, 003, 0010 et 0013 - Relogement des EVAT et augmentation de la capacité d'accueil des stagiaires du CNEC;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;OCCITANIE;2020T4;12;entre 1 MEuros et 10 MEuros;50%;16/11/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;MBC pour l'éxécution de travaux d'entretien et d'adaptation tous corps d'état BDD SLZ LOT 7 : plomberie-chauffage-ventilation;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;CORSE;2020T3;48;entre 100 KEuros et 1 MEuros;18%;16/9/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;447873 - 018 AC VARCES 7 BCA-7 RMAT-93RAM - de REYNIES - Adaptation de la ZT pour accueil VBMR - SCORPION;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2019T4;12;entre 10 MEuros et 100 MEuros;67%;2/11/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;Fourniture et livraison d'articles divers de peinture pour bâtiments à destination des emprises relevant du périmètre de compétence de l'ESID de LYON;36.05.01;Matériaux constr (ciment,plâtre,carrelage,bois,revêtements);Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2020T1;48;entre 1 MEuros et 10 MEuros;78%;16/3/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;MBC pour l'exécution de travaux d'entretien et d'adaptation tous corps d'état BDD LVB - Sites et immeubles situés dans le département de l'AIN LOT 2 : Menuiseries extérieurs, virerie et miroiterie, stores et fermetures, métallerie;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2020T1;48;entre 100 KEuros et 1 MEuros;26%;7/3/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;MBC pour l'exécution de travaux d'entretien et d'adaptations mineurs tous corps d'état - BDD GAC - département de haute savoie LOT 3 : menuiseries et aménagements intérieurs;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2020T4;48;entre 100 KEuros et 1 MEuros;85%;8/10/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;MBC pour l'exécution de travaux d'entretien et d'adaptations mineurs tous corps d'état - BDD GAC - département de la SAVOIE LOT 4 : peinture;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2020T4;48;entre 100 KEuros et 1 MEuros;50%;9/10/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;ESID-ESID BORDEAUX-Accord-cadre à bons de commande pour l'achat de founitures et matériaux  5 lots : électricité, peinture, quincaillerie, plomberie/chauffage, matériaux de construction;36.05.06;Matériel et petit équipement électrique;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2019T1;48;entre 1 MEuros et 10 MEuros;94%;27/1/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;16 - ANGOULEME- Désamiantage toiture BUSSAC (2ème semestre);36.02.06;Travaux de dépollution, décontamination;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2019T1;12;entre 100 KEuros et 1 MEuros;60%;23/3/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;16-BDD ANGOULEME-Externalisation de la régie - marché de SOS dépannage sur tous corps d'état;37.05.02;Contrat de maintenance multitechniques;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2018T4;48;entre 1 MEuros et 10 MEuros;72%;13/10/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;33 - BORDEAUX - SAINT JEAN D'ILLAC - Amélioration des aires de sécurité;36.02.04;Travaux de mise aux normes bâtiment;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2020T3;12;entre 100 KEuros et 1 MEuros;79%;14/9/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;19 - BRIVE LA GAILLARDE - BDD BRIVE -Accord-cadre à bons de commande de travaux de génie agricole;37.01.03;Entretien espaces verts et extérieurs;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2018T4;48;entre 100 KEuros et 1 MEuros;77%;16/11/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;33 - CAZAUX - LA TESTE - BA 120 - Sécurisation protection défense;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2019T3;12;entre 1 MEuros et 10 MEuros;89%;20/9/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;33 - CAZAUX - LA TESTE - BA 120 - Accueil de l'Escadron d'entraînement « Côte d'or » 02.002;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2019T4;12;entre 100 KEuros et 1 MEuros;70%;27/11/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;Accord-cadre à bons de commande pour l'exécution des travaux forestiers et de débroussaillement divers dans les emprises et sites militaires de Biscarrosse (40) et de Cazaux (33) dépendant de l'USID de Cazaux   Lot n°2 : Travaux forestiers et de débroussaillement divers au profit de la BDD de Cazaux et de la DGA Essais en vols de Cazaux;37.01.03;Entretien espaces verts et extérieurs;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2021T3;48;entre 100 KEuros et 1 MEuros;79%;20/8/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;64 - PAU - PAU BOITEUX Construction plateau sport de combat;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2021T4;12;entre 100 KEuros et 1 MEuros;32%;9/12/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;64 - PAU - DAX Adaptation hangar pour accueil DFSA;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2021T4;12;entre 1 MEuros et 10 MEuros;28%;5/12/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;64 - PAU - BDD PAU - Marché à bons de de commande sur bordereau de prix pour l'exécution des travaux de maintenance et d'améliorations mineures dans les immeubles militaires dépendant de l'USID de PAU Marché de Plomberie - Chauffage - Sanitaire - Ventilation Lot 1 Garnison de Pau et Garnison de Tarbes;37.02.02;Maintenance chauffage, ventilation, climatisation (CVC);Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2020T3;48;entre 100 KEuros et 1 MEuros;55%;11/9/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;64 - PAU - BDD PAU - Accord-cadre à bons de commande relatif à l'entretien des SHOA, réseaux d'eau, stations de relevage et traitement des eaux usées, vidanges des rejets sanitaires (canins et fosses septiques), bacs à graisses de tous les sites de la Base de Défense de PAU;37.02.09;Maintenance de voierie et réseaux divers (VRD), hors route;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2021T3;48;entre 100 KEuros et 1 MEuros;22%;5/8/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;31 - TOULOUSE - PAMIERS - Extension de la salle d'honneur;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2018T4;12;entre 100 KEuros et 1 MEuros;50%;24/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;31 - TOULOUSE - ML - PAMIERS - Rénovation du poste d'accueil et de filtrage - 1° RCP - Quartier BEAUMONT;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2018T4;12;entre 100 KEuros et 1 MEuros;62%;20/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;31 - TOULOUSE - Construction d'une antenne médicale - PRADERES;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2021T4;12;entre 1 MEuros et 10 MEuros;73%;25/10/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;31 - BDD TOULOUSE - Accord-cadre à bons de commande  MCO des installations des systèmes de sécurité incendie (SSI), des systèmes de détection incendie (SDI) et des systèmes de mise en sécurité incendie (SMSI) des organismes de la Base de Défense de TOULOUSE-CASTRES;37.02.08;Maintenance instal système de sécurité incendie (SSI);Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2021T4;48;entre 100 KEuros et 1 MEuros;46%;20/10/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;17 - ROCHEFORT - COGNAC - Accueil du drône MALE - REAPER;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2019T4;12;entre 1 MEuros et 10 MEuros;97%;8/12/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;17 - ROCHEFORT - Construction Mess unique;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2021T4;12;entre 1 MEuros et 10 MEuros;95%;10/10/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Bordeaux;17 - ROCHEFORT - BDD ROCHEFORT - Accord-cadre à bons de commande relatif à l'exploitation, la maintenance et aux travaux d'entretien, d'amélioration et d'adaptation mineure des installations de chauffage, de ventilation, de climatisation, de production d'ECS et de plomberie sanitaire BdD ROCHEFORT sur la Charente (16) et Charente-Maritime (17);37.02.02;Maintenance chauffage, ventilation, climatisation (CVC);Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2021T4;48;entre 1 MEuros et 10 MEuros;72%;1/11/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Toulon;Base navale Toulon - Remise en état du quai Dupuy de Lôme;36.03.04;Travaux de construction de VRD, ouvrages annexes;Ministériel;Régional ou infra;PACA;2020T4;12;entre 100 KEuros et 1 MEuros;95%;10/12/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Toulon;Centrale de production PA - Travaux;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;PACA;2020T4;12;entre 1 MEuros et 10 MEuros;16%;22/12/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Toulon;Base navale - SD restauration - Refonte du centre TITAN;36.04.03;Étude préalable, audit, expertise liés aux travaux;Ministériel;Régional ou infra;PACA;2021T4;12;entre 100 KEuros et 1 MEuros;94%;5/12/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Toulon;Refonte poste 63 kV Malbousquet dont 1 transfo;36.03.04;Travaux de construction de VRD, ouvrages annexes;Ministériel;Régional ou infra;PACA;2021T4;12;entre 1 MEuros et 10 MEuros;53%;25/11/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Toulon;Accord-cadre à bons de commande pour rénovation des postes HT/BT obsolètes de la BDD de Toulon.;37.02.01;Maintenance instal électr (courant faible et fort, HT-BT);Ministériel;Régional ou infra;PACA;2020T4;48;entre 1 MEuros et 10 MEuros;53%;4/11/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Rénovation du réseau électrique Préparation;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;GRAND EST;2018T4;24;entre 100 KEuros et 1 MEuros;33%;10/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;BPIA - Réhabilitation réseaux humides : pluviales+usées+potable+incendie de CRISSEY TF + 3 TO;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;GRAND EST;2019T4;48;entre 1 MEuros et 10 MEuros;51%;1/12/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Construction d'un PAF au quartier Maunoury;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;GRAND EST;2018T4;12;entre 100 KEuros et 1 MEuros;62%;15/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;CVPO - BELFORT (90) - BDD de Belfort - réalisation des CVPO.;37.05.03;Contrat multiservices-multitechniques;Ministériel;Régional ou infra;GRAND EST;2018T4;12;entre 100 KEuros et 1 MEuros;39%;26/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;MECI - BDD  de strasbourg (67) - Maintenance préventive et vérification des portes, portails, barrières et rideaux métalliques, automatiques et manuels.;37.02.06;Maintenance portes et portails;Ministériel;Régional ou infra;GRAND EST;2018T4;12;entre 100 KEuros et 1 MEuros;37%;4/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;BOUROGNE (90) - 1ER RA - Quartier  AILLERET - Rénovation du batiment 0030 - TRAVAUX;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;GRAND EST;2020T4;12;entre 100 KEuros et 1 MEuros;79%;17/11/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Réfection de la toiture HM5;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;GRAND EST;2020T4;12;entre 100 KEuros et 1 MEuros;84%;1/12/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;BOUROGNE - 1er RA - construction d'une chaufferie CCAEM;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;GRAND EST;2020T4;72;entre 1 MEuros et 10 MEuros;88%;12/10/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;AUXONNE - BONAPARTE- 511RT- préservation de la tour du signe;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;GRAND EST;2018T4;24;entre 100 KEuros et 1 MEuros;84%;6/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Création d'un bâtiment d'hébergement cadres célibataires (47 PLACES) - MOP;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;GRAND EST;2018T4;60;entre 100 KEuros et 1 MEuros;29%;6/11/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Aménagement d'atelier/magasin appros/multi technique - HM6 dans le hangar HM5 PREPA;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;GRAND EST;2018T4;72;entre 100 KEuros et 1 MEuros;46%;4/10/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Adaptations liées à la dissolution de la BA 102;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;GRAND EST;2021T3;96;entre 1 MEuros et 10 MEuros;55%;6/9/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;BA 116 - Mise aux normes FRA 145;36.02.04;Travaux de mise aux normes bâtiment;Ministériel;Régional ou infra;GRAND EST;2018T4;24;entre 100 KEuros et 1 MEuros;90%;10/11/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Renforcement de l'entrée principale de la BA116;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;GRAND EST;2021T3;24;entre 1 MEuros et 10 MEuros;21%;7/8/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Confortement du batiment et du mur de soutènement Bât 006 (poste de sécurité);36.02.04;Travaux de mise aux normes bâtiment;Ministériel;Régional ou infra;GRAND EST;2019T3;72;entre 100 KEuros et 1 MEuros;23%;27/9/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;WOIPPY (57) - Et. COL Clerc - Dét. 8 RMAT - Bât. 005 - Réfection des menuiseries;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;GRAND EST;2021T3;24;entre 100 KEuros et 1 MEuros;33%;25/7/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Adaptation de l'atelier 007 aux AMX 10 RC;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;GRAND EST;2021T4;24;entre 100 KEuros et 1 MEuros;56%;10/12/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;SISSONNE CENZUB Q.Orleans Création d'une nouvelle ZED - MOP concours;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;GRAND EST;2019T1;36;entre 100 KEuros et 1 MEuros;76%;27/3/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Installations techniques pour l'accueil du VBMR phase 3;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;GRAND EST;2020T4;24;entre 1 MEuros et 10 MEuros;87%;1/12/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Sissonne - RENOVATION DES RESEAUX AEP DU CAMP et construction STEP;36.03.02;Tvx réhabilitation infra transports, routes (yc revêtement);Ministériel;Régional ou infra;GRAND EST;2019T3;120;entre 1 MEuros et 10 MEuros;31%;1/7/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Construction d'une structure d'hébergement modulaire (80 places);36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;GRAND EST;2021T4;48;entre 1 MEuros et 10 MEuros;93%;20/10/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;BCC place de NANCY;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;GRAND EST;2021T4;24;entre 1 MEuros et 10 MEuros;83%;3/11/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Rénovation/adaptation de l'antenne médicale;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;GRAND EST;2019T4;72;entre 1 MEuros et 10 MEuros;84%;11/10/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;BITCHE - Quartier LCL DRIANT - Bâtiment 214 - Réorganisation et mise aux normes de la fonction alimentation;36.02.04;Travaux de mise aux normes bâtiment;Ministériel;Régional ou infra;GRAND EST;2021T3;72;entre 1 MEuros et 10 MEuros;65%;15/8/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;programme SCORPION/VBMR NTI - TVX;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;GRAND EST;2019T3;24;entre 1 MEuros et 10 MEuros;21%;3/7/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;"Mise en sécurité de l'ICPE ""banc d'essai réacteur""";36.02.04;Travaux de mise aux normes bâtiment;Ministériel;Régional ou infra;GRAND EST;2018T4;24;entre 100 KEuros et 1 MEuros;81%;7/10/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Augmentation de la capacité hébergement canin de la cellule cynophile;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;GRAND EST;2019T4;24;entre 100 KEuros et 1 MEuros;63%;25/11/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;STRASBOURG (67) - Cercle mixte de garnison - Mise aux normes accessibilité et évacuation incendie des personnes handicapées - MOP;36.02.04;Travaux de mise aux normes bâtiment;Ministériel;Régional ou infra;GRAND EST;2018T4;24;entre 100 KEuros et 1 MEuros;97%;26/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;Réhabilitation partielle du bâtiment 74;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;GRAND EST;2019T4;24;entre 100 KEuros et 1 MEuros;41%;11/12/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Metz;VERDUN - Remise à niveau du système de chauffage du quartier;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;GRAND EST;2020T3;24;entre 1 MEuros et 10 MEuros;54%;16/7/2020
